id	lang	idiom	type	core	feature	map_spatial	map_directionality	map_localization	value	value_as_in_source	source	page	comment	contributor	form	example	gloss	translation	example_source	example_page	example_comment
34	Khinalug	Khinalug	village	yes	standard of comparison in comparative constructions	non-spatial	non-spatial	none	comparative		desheriev1959	25	-l:i elative	Chiara Naccarato	-q'ilːi	эй ц1ва ксанэжмаъ эци чхи ц1ва-къилли		my house is better than this big house	desheriev1959	25	
35	Khwarshi	Kwantlada	village	yes	standard of comparison in comparative constructions	spatial	elative	super	superelative	superablative	khalilova2009	285	superessive (Daniel & Ganenkov 2009)	Chiara Naccarato	-λ'a-zi	Musa Aħmad-λ'a-zi ø-uxala goli	Musa Akhmed-sup-el m-tall cop	Musa is taller than Akhmed	khalilova2009	286	
36	Kryz	Alik	village	yes	standard of comparison in comparative constructions	spatial	elative	ad	adelative		authier2009	183		Chiara Naccarato	-var	lu utağ la'a-be-var an ghala-yu	dem room other-npl-ad.el ptc good-cop.f	this room is more beautiful than the others	authier2009	183	
37	Kumyk	Standard Kumyk	idiom	yes	standard of comparison in comparative constructions	spatial	elative	none	ablative		gadzhiakhmedov2000; dmitriev1940	54; 70		Chiara Naccarato	-dan (-dən)	ол мен-ден уллу, сен-ден гиччи		he is older than me, younger than you	gadzhiakhmedov2000	75	
38	Lak	Standard Lak (Kumukh)	idiom	yes	standard of comparison in comparative constructions	non-spatial	non-spatial	none	comparative		zhirkov1955; kazenin2013	39; 281		Chiara Naccarato	-jar	тани-яр вихшаласса кIану бакъар		there is no safer place than this	kazenin2013	287	
39	Lezgian	Standard Lezgian	idiom	yes	standard of comparison in comparative constructions	spatial	elative	super	superelative		haspelmath1993	432		Chiara Naccarato	-l-aj	za-z wun i dünja-di-l-aj para k'an-da	1sg-dat 2sg dem world-obl-sup-el much love-fut	I love you more than this world	haspelmath1993	432	
40	Nogai	NA	NA	yes	standard of comparison in comparative constructions	spatial	elative	none	ablative		gadzhiakhmedov2000	75		Chiara Naccarato	-den	бу уьй о уьй-ден бийик		this house is taller than that house	gadzhiakhmedov2000	75	
41	Rutul	Mukhad	idiom	yes	standard of comparison in comparative constructions	non-spatial	non-spatial	none	comparative		maxmudova2002; ibragimov2004	42; 60, 75		Chiara Naccarato	-qaʔ	wa-s rɨš-e-qaʔ duχ qɨga-r-a	2sg-dat girl-obl-cmpr son love.ipfv.m-prog.cvb-cop	you love your son more than your daughter	maxmudova2002	42	
42	Rutul	Mukhad	idiom	no	standard of comparison in comparative constructions	spatial	elative	super	superelative	elative V	ibragimov2004	60, 75		Chiara Naccarato	-la	iz-dɨ did wɨ-dɨ did-ɨ-la hɨχ-dɨ jiʔi	1sg-atr(gen) father 2sg-atr(gen) father-obl-sup.el good-atr cop.m	my father is better than your father	ibragimov2004	75	
43	Rutul	Luchek	village	no	standard of comparison in comparative constructions	spatial	elative	super	superelative	superablative	alekseev1994	247		Chiara Naccarato	-lɨ	ha-d ǯu-dɨ šu-lɨ χuliχi r-iʔi	dem-atr refl.m.obl-atr brother-sup.el fat cop.f	she is fatter than her brother	alekseev1994	247	
44	Tabasaran	Tabasaran	idiom	yes	standard of comparison in comparative constructions	non-spatial	non-spatial	none	comparative		alekseevshixalieva2003; xanmagomedovshalbuzov2001	52; 425	-an elative	Chiara Naccarato	-t'-an	чве чи-т1-ан биц1ир ву		the brother is younger than the sister	xanmagomedovshalbuzov2001	425	
45	Tabasaran	Northern Tabasaran	idiom	no	standard of comparison in comparative constructions	non-spatial	non-spatial	none	comparative		magometov1965	158	-an elative	Chiara Naccarato	-t'-an(a)	hatmu daftːar-t'-ana 		than that book	magometov1965	158	
46	Tabasaran	Southern Tabasaran	idiom	no	standard of comparison in comparative constructions	non-spatial	non-spatial	none	comparative		magometov1965	158	-an elative	Chiara Naccarato	-č'-an / -da-k-an	hatmu kitabar-da-k-an 		than those books	magometov1966	158	
47	Tindi	Tindi	idiom	yes	standard of comparison in comparative constructions	spatial	essive	cont	contessive	essive -č'	magomedova2012; magomedova2003	101; 557		Chiara Naccarato	-č'-i	wacːi k*'e-ja rehã-ɬːiː muk'u-w ija jacːu-č'i	brother two-num year-nm.obl.erg young-m cop sister-cont	the brother is two years younger than the sister	magomedova2012	79	
48	Tsakhur	Mishlesh	village	yes	standard of comparison in comparative constructions	spatial	elative	super	superelative		sosenskaja1999	561		Chiara Naccarato	-l-e	fāt'imat zuhra-j-l-e jug-ra ješemiš-ēx-e wo-r	Fatima Zuhra-obl-sup-el good-adv.f live-become.f-ipf cop-f	Fatima lives better than Zuhra	sosenskaja1999	561	
49	Tsez	Kedero	village	yes	standard of comparison in comparative constructions	spatial	elative	super	superelative		bokarev1959	195		Chiara Naccarato	-ƛ'-aj	эсназа-кь-ай жо эже		he is taller than his brothers	bokarev1959	195	
50	Udi	Nidzh	village	yes	standard of comparison in comparative constructions	spatial	elative	none	ablative		ganenkov2008	42		Chiara Naccarato	-χun	bitüm boIqːal vuj hazar-aχun gele-ne	all population nine thousand-abl a_lot-3sg	the total number of Udi people is more than 9 thousands	ganenkov2008	43	
