id	lang	idiom	type	genlang_point	map	feature	value	source	page	comment	contributor
42	Tabasaran	Northern Tabasaran	dialect_toplevel	no	no	The expression of elevation in demonstratives	pronouns	magometov1965	176,178		Timofey Mukhin
43	Tabasaran	Standard Tabasaran	language	yes	yes	The expression of elevation in demonstratives	pronouns	uslar1979	135-136		Timofey Mukhin
44	Tat	Judeo-Tat	dialect_toplevel	yes	yes	The expression of elevation in demonstratives	no elevation	authier2012	114-115		Timofey Mukhin
45	Tindi	Tindi	village	yes	yes	The expression of elevation in demonstratives	affixes	magomedova2012	126		Timofey Mukhin
46	Tindi	Tindi	village	no	no	The expression of elevation in demonstratives	affixes	authierdraft2020	10-11	у магомедовой po	Timofey Mukhin
47	Tsakhur	Mishlesh	village	yes	yes	The expression of elevation in demonstratives	no elevation	kibrik1999	131; 133		Timofey Mukhin
48	Tsakhur	Tsakhur	language	no	no	The expression of elevation in demonstratives	no elevation	ibragimov1990	103,193		Timofey Mukhin
49	Tsez	Tsez	language	yes	yes	The expression of elevation in demonstratives	no elevation	imnajshvili1961	99,101		Timofey Mukhin
50	Tsez	Tsibari	village	no	yes	The expression of elevation in demonstratives	no elevation	comrie2007	1199	howda- proximal, this, near you	Timofey Mukhin
51	Tsez	Kidero	dialect_nt1	no	yes	The expression of elevation in demonstratives	no elevation	bokarev1959	196,198	видимость?	Timofey Mukhin
52	Tsez	Asakh	dialect_nt1	no	yes	The expression of elevation in demonstratives	no elevation	comriepolinsky2007	6, 20, 380	ближний рефлексив. видимость?	Timofey Mukhin
53	Tsova-Tush	Zemo-Alvani	village	yes	yes	The expression of elevation in demonstratives	no elevation	desheriev1953	169,177		Timofey Mukhin
54	Udi	Vartashen	dialect_toplevel	yes	yes	The expression of elevation in demonstratives	no elevation	schulze2008	253		Timofey Mukhin
55	Udi	Nidzh	village	no	yes	The expression of elevation in demonstratives	no elevation	ganenkov2008	23		Timofey Mukhin
